elanId_1,elanId_2,count,legislative_period
7,9,14,49
7,12,7,49
7,13,0,49
7,14,2,49
7,15,2,49
7,16,2,49
7,17,6,49
7,18,5,49
7,19,3,49
7,20,5,49
7,21,21,49
7,22,8,49
7,23,11,49
7,24,18,49
7,29,12,49
7,30,6,49
7,31,33,49
7,32,11,49
7,33,3,49
7,36,10,49
7,38,5,49
7,41,8,49
7,44,11,49
7,45,1,49
7,46,9,49
7,49,3,49
7,50,12,49
7,53,5,49
7,56,7,49
7,58,9,49
7,62,9,49
7,77,8,49
7,79,7,49
7,81,16,49
7,83,11,49
7,93,17,49
7,116,13,49
7,120,1,49
7,124,4,49
7,125,9,49
7,126,25,49
7,127,10,49
7,130,23,49
7,132,6,49
7,133,14,49
7,134,5,49
7,135,0,49
7,136,7,49
7,137,12,49
7,138,9,49
7,140,7,49
7,141,26,49
7,142,4,49
7,143,7,49
7,144,6,49
7,146,3,49
7,147,26,49
7,148,0,49
7,149,8,49
7,150,1,49
7,151,2,49
7,152,11,49
7,153,4,49
7,156,8,49
7,159,3,49
7,162,9,49
7,163,12,49
7,164,9,49
7,166,22,49
7,172,6,49
7,175,17,49
7,176,5,49
7,177,4,49
7,178,15,49
7,180,5,49
7,181,21,49
7,182,9,49
7,183,7,49
7,184,3,49
7,188,19,49
7,189,0,49
7,190,3,49
7,191,5,49
7,192,2,49
7,194,1,49
7,198,1,49
7,199,2,49
7,200,6,49
7,201,12,49
7,202,4,49
7,203,11,49
7,204,8,49
7,205,1,49
7,206,4,49
7,208,2,49
7,213,0,49
7,216,26,49
7,217,3,49
7,219,0,49
7,226,3,49
7,227,3,49
7,232,1,49
7,233,2,49
7,238,15,49
7,244,2,49
7,246,13,49
7,251,3,49
7,256,6,49
7,257,3,49
7,263,8,49
7,268,7,49
7,283,10,49
7,286,1,49
7,313,3,49
7,328,4,49
7,343,3,49
7,353,6,49
7,361,6,49
7,367,0,49
7,370,2,49
7,371,9,49
7,382,2,49
7,383,6,49
7,384,8,49
7,454,5,49
7,455,9,49
7,456,3,49
7,460,16,49
7,462,4,49
7,464,10,49
7,465,10,49
7,466,13,49
7,467,5,49
7,468,7,49
7,470,3,49
7,692,13,49
7,693,4,49
7,694,12,49
7,695,5,49
7,696,14,49
7,697,6,49
7,698,8,49
7,700,5,49
7,701,6,49
7,702,5,49
7,703,9,49
7,704,7,49
7,705,7,49
7,706,5,49
7,707,16,49
7,708,3,49
7,709,7,49
7,713,4,49
7,715,2,49
7,716,8,49
7,717,10,49
7,718,5,49
7,719,8,49
7,720,15,49
7,721,2,49
7,722,8,49
7,723,20,49
7,724,4,49
7,725,0,49
7,726,4,49
7,727,8,49
7,728,1,49
7,729,12,49
7,730,14,49
7,731,5,49
7,732,2,49
7,733,3,49
7,735,9,49
7,736,3,49
7,737,1,49
7,738,4,49
7,739,3,49
7,741,3,49
7,742,3,49
7,743,13,49
7,744,5,49
7,745,5,49
7,746,5,49
7,747,8,49
7,749,4,49
7,750,4,49
7,751,16,49
7,752,5,49
7,753,3,49
7,754,3,49
7,755,5,49
7,756,23,49
7,758,3,49
7,759,18,49
7,760,16,49
7,761,2,49
7,762,7,49
7,763,18,49
7,764,3,49
7,765,5,49
7,766,3,49
7,767,13,49
7,768,9,49
7,769,2,49
7,770,2,49
7,771,1,49
7,772,1,49
7,773,5,49
7,774,8,49
7,775,7,49
7,776,1,49
7,777,3,49
7,778,4,49
7,779,0,49
7,780,0,49
7,782,0,49
7,783,0,49
7,784,0,49
7,785,0,49
7,786,0,49
7,788,0,49
7,789,0,49
7,790,0,49
7,794,0,49
7,981,4,49
9,12,11,49
9,13,0,49
9,14,0,49
9,15,9,49
9,16,3,49
9,17,5,49
9,18,10,49
9,19,2,49
9,20,6,49
9,21,22,49
9,22,11,49
9,23,59,49
9,24,82,49
9,29,64,49
9,30,9,49
9,31,20,49
9,32,32,49
9,33,3,49
9,36,52,49
9,38,15,49
9,41,22,49
9,44,66,49
9,45,2,49
9,46,8,49
9,49,7,49
9,50,55,49
9,53,15,49
9,56,18,49
9,58,13,49
9,62,19,49
9,77,42,49
9,79,44,49
9,81,61,49
9,83,15,49
9,93,74,49
9,116,36,49
9,120,1,49
9,124,6,49
9,125,7,49
9,126,24,49
9,127,16,49
9,130,12,49
9,132,3,49
9,133,52,49
9,134,5,49
9,135,1,49
9,136,3,49
9,137,48,49
9,138,6,49
9,140,12,49
9,141,29,49
9,142,2,49
9,143,22,49
9,144,2,49
9,146,4,49
9,147,18,49
9,148,0,49
9,149,10,49
9,150,1,49
9,151,0,49
9,152,47,49
9,153,7,49
9,156,8,49
9,159,1,49
9,162,8,49
9,163,39,49
9,164,15,49
9,166,21,49
9,172,4,49
9,175,45,49
9,176,6,49
9,177,1,49
9,178,50,49
9,180,4,49
9,181,22,49
9,182,6,49
9,183,7,49
9,184,4,49
9,188,19,49
9,189,1,49
9,190,2,49
9,191,2,49
9,192,2,49
9,194,0,49
9,198,2,49
9,199,6,49
9,200,8,49
9,201,11,49
9,202,5,49
9,203,10,49
9,204,11,49
9,205,1,49
9,206,6,49
9,208,3,49
9,213,0,49
9,216,42,49
9,217,0,49
9,219,1,49
9,226,4,49
9,227,3,49
9,232,0,49
9,233,0,49
9,238,66,49
9,244,0,49
9,246,13,49
9,251,2,49
9,256,4,49
9,257,3,49
9,263,9,49
9,268,59,49
9,283,6,49
9,286,1,49
9,313,4,49
9,328,2,49
9,343,1,49
9,353,20,49
9,361,2,49
9,367,0,49
9,370,2,49
9,371,38,49
9,382,3,49
9,383,1,49
9,384,1,49
9,454,2,49
9,455,58,49
9,456,5,49
9,460,50,49
9,462,3,49
9,464,34,49
9,465,20,49
9,466,48,49
9,467,16,49
9,468,7,49
9,470,0,49
9,692,49,49
9,693,2,49
9,694,67,49
9,695,2,49
9,696,55,49
9,697,4,49
9,698,28,49
9,700,8,49
9,701,10,49
9,702,4,49
9,703,15,49
9,704,13,49
9,705,14,49
9,706,8,49
9,707,13,49
9,708,1,49
9,709,11,49
9,713,2,49
9,715,5,49
9,716,10,49
9,717,56,49
9,718,9,49
9,719,9,49
9,720,46,49
9,721,3,49
9,722,10,49
9,723,28,49
9,724,7,49
9,725,2,49
9,726,6,49
9,727,12,49
9,728,3,49
9,729,74,49
9,730,47,49
9,731,5,49
9,732,2,49
9,733,1,49
9,735,13,49
9,736,2,49
9,737,4,49
9,738,12,49
9,739,8,49
9,741,3,49
9,742,9,49
9,743,46,49
9,744,3,49
9,745,1,49
9,746,5,49
9,747,51,49
9,749,14,49
9,750,7,49
9,751,60,49
9,752,7,49
9,753,6,49
9,754,2,49
9,755,3,49
9,756,13,49
9,758,3,49
9,759,62,49
9,760,47,49
9,761,4,49
9,762,15,49
9,763,82,49
9,764,4,49
9,765,13,49
9,766,6,49
9,767,77,49
9,768,59,49
9,769,2,49
9,770,0,49
9,771,0,49
9,772,1,49
9,773,20,49
9,774,4,49
9,775,34,49
9,776,1,49
9,777,10,49
9,778,1,49
9,779,0,49
9,780,0,49
9,782,0,49
9,783,0,49
9,784,0,49
9,785,0,49
9,786,0,49
9,788,0,49
9,789,0,49
9,790,0,49
9,794,0,49
9,981,4,49
12,13,0,49
12,14,3,49
12,15,4,49
12,16,3,49
12,17,6,49
12,18,9,49
12,19,3,49
12,20,4,49
12,21,9,49
12,22,5,49
12,23,14,49
12,24,13,49
12,29,11,49
12,30,7,49
12,31,9,49
12,32,15,49
12,33,4,49
12,36,15,49
12,38,9,49
12,41,10,49
12,44,10,49
12,45,2,49
12,46,6,49
12,49,5,49
12,50,12,49
12,53,11,49
12,56,8,49
12,58,12,49
12,62,7,49
12,77,5,49
12,79,12,49
12,81,15,49
12,83,8,49
12,93,14,49
12,116,7,49
12,120,0,49
12,124,2,49
12,125,5,49
12,126,8,49
12,127,23,49
12,130,9,49
12,132,5,49
12,133,10,49
12,134,2,49
12,135,2,49
12,136,3,49
12,137,13,49
12,138,7,49
12,140,2,49
12,141,9,49
12,142,3,49
12,143,7,49
12,144,2,49
12,146,1,49
12,147,11,49
12,148,0,49
12,149,4,49
12,150,6,49
12,151,2,49
12,152,12,49
12,153,6,49
12,156,3,49
12,159,3,49
12,162,5,49
12,163,11,49
12,164,5,49
12,166,10,49
12,172,5,49
12,175,8,49
12,176,2,49
12,177,4,49
12,178,7,49
12,180,4,49
12,181,12,49
12,182,2,49
12,183,3,49
12,184,4,49
12,188,9,49
12,189,0,49
12,190,4,49
12,191,5,49
12,192,1,49
12,194,0,49
12,198,1,49
12,199,2,49
12,200,4,49
12,201,4,49
12,202,5,49
12,203,3,49
12,204,2,49
12,205,3,49
12,206,13,49
12,208,5,49
12,213,0,49
12,216,13,49
12,217,3,49
12,219,1,49
12,226,3,49
12,227,4,49
12,232,0,49
12,233,2,49
12,238,11,49
12,244,1,49
12,246,3,49
12,251,3,49
12,256,4,49
12,257,3,49
12,263,10,49
12,268,10,49
12,283,2,49
12,286,2,49
12,313,2,49
12,328,4,49
12,343,1,49
12,353,10,49
12,361,3,49
12,367,0,49
12,370,3,49
12,371,3,49
12,382,2,49
12,383,1,49
12,384,2,49
12,454,4,49
12,455,8,49
12,456,7,49
12,460,11,49
12,462,1,49
12,464,10,49
12,465,17,49
12,466,11,49
12,467,13,49
12,468,5,49
12,470,3,49
12,692,10,49
12,693,2,49
12,694,13,49
12,695,5,49
12,696,8,49
12,697,3,49
12,698,12,49
12,700,16,49
12,701,17,49
12,702,3,49
12,703,8,49
12,704,4,49
12,705,5,49
12,706,8,49
12,707,10,49
12,708,2,49
12,709,3,49
12,713,3,49
12,715,4,49
12,716,5,49
12,717,10,49
12,718,17,49
12,719,15,49
12,720,8,49
12,721,7,49
12,722,16,49
12,723,12,49
12,724,5,49
12,725,3,49
12,726,15,49
12,727,8,49
12,728,9,49
12,729,10,49
12,730,14,49
12,731,12,49
12,732,5,49
12,733,2,49
12,735,21,49
12,736,3,49
12,737,3,49
12,738,8,49
12,739,17,49
12,741,3,49
12,742,7,49
12,743,13,49
12,744,1,49
12,745,5,49
12,746,4,49
12,747,11,49
12,749,9,49
12,750,4,49
12,751,13,49
12,752,2,49
12,753,5,49
12,754,4,49
12,755,0,49
12,756,9,49
12,758,3,49
12,759,7,49
12,760,9,49
12,761,3,49
12,762,18,49
12,763,10,49
12,764,6,49
12,765,6,49
12,766,6,49
12,767,10,49
12,768,7,49
12,769,2,49
12,770,1,49
12,771,2,49
12,772,1,49
12,773,4,49
12,774,5,49
12,775,2,49
12,776,0,49
12,777,1,49
12,778,2,49
12,779,0,49
12,780,0,49
12,782,0,49
12,783,0,49
12,784,0,49
12,785,0,49
12,786,0,49
12,788,0,49
12,789,0,49
12,790,0,49
12,794,0,49
12,981,3,49
13,14,1,49
13,15,0,49
13,16,2,49
13,17,1,49
13,18,2,49
13,19,2,49
13,20,2,49
13,21,0,49
13,22,0,49
13,23,0,49
13,24,0,49
13,29,0,49
13,30,1,49
13,31,0,49
13,32,0,49
13,33,1,49
13,36,0,49
13,38,0,49
13,41,1,49
13,44,0,49
13,45,0,49
13,46,0,49
13,49,2,49
13,50,0,49
13,53,0,49
13,58,1,49
13,62,2,49
13,77,0,49
13,81,0,49
13,93,0,49
13,116,0,49
13,120,1,49
13,124,1,49
13,125,1,49
13,126,0,49
13,127,0,49
13,130,0,49
13,132,1,49
13,133,1,49
