id,elanId
20123334,7
20123931,116
20123833,721
20110493,739
20124065,93
20130402,353
20120416,721
20130458,706
20123399,133
20133147,761
20124072,50
20123102,176
20123890,213
20130453,788
20133085,371
20124123,133
20133253,12
20123068,701
20114194,12
20123144,750
20143999,732
20143665,736
20123473,30
20130410,766
20153013,15
20133494,16
20143010,172
20123871,149
20120464,703
20130461,456
20133239,263
20133073,16
20153382,705
20133131,706
20133156,163
20133148,21
20123595,762
20134006,213
20123881,737
20124181,981
20123234,770
20123993,20
20133364,696
20123546,692
20123311,147
20133154,178
20123405,703
20123826,150
20123525,727
20123013,182
20153500,124
20123914,180
20123004,732
20140404,762
20133327,709
20130466,148
20123342,730
20124135,737
20133294,456
20130461,77
20133678,159
20124264,283
20133218,756
20123543,79
20120493,15
20110496,201
20123229,737
20133020,152
20124264,772
20130446,200
20124213,784
20124234,283
20124073,724
20143381,191
20124131,138
20123105,263
20123378,32
20120412,467
20123398,62
20114097,732
20123246,742
20133080,33
20153495,361
20123111,720
20133662,773
20133123,126
20133516,767
20123286,328
20123528,217
20133176,32
20123405,694
20120438,739
20123939,767
20133971,176
20123571,17
20123809,353
20124018,147
20120423,693
20120441,32
20124194,730
20123172,140
20133542,749
20143006,9
20123160,176
20143381,779
20123225,256
20123089,703
20133729,33
20123341,328
20133494,693
20123767,775
20133626,737
20143043,707
20123333,24
20123988,29
20133089,776
20133272,233
20130408,45
20133036,251
20130457,467
20123755,713
20123899,201
20133371,777
20123543,723
20123662,77
20153382,152
20133354,384
20120427,729
20143006,764
20133542,233
20123778,701
20140412,778
20134013,15
20123515,456
20123418,760
20123531,733
20123282,125
20124056,698
20123437,50
20133248,719
20123312,18
20123983,454
20123726,367
20123333,746
20153445,696
20133365,81
20133464,456
20133905,747
20123706,467
20123623,383
20124194,761
20120455,739
20123234,468
20130470,470
20140400,256
20153279,771
20123312,188
20124155,719
20124065,731
20120438,263
20123656,456
20133259,200
20123759,137
20130472,715
20124123,30
20130427,371
20123503,741
20123817,137
20153495,182
20123524,468
20143044,203
20123623,708
20123756,33
20144239,464
20123431,147
20134011,700
20123814,201
20114156,384
20120424,709
20153279,782
20124197,62
20123103,226
20123648,159
20130460,467
20133151,454
20123893,21
20123214,704
20134006,81
20123112,470
20124171,701
20144239,15
20123233,751
20123652,752
20123118,12
20153499,747
20123891,93
20133090,36
20143043,719
20133894,754
20133324,462
20124123,707
20124073,257
20124230,130
20130440,751
20133351,244
20133068,694
20133218,456
20123705,715
20133657,166
20120488,178
20114135,738
20130417,692
20133536,779
20143005,693
20143666,778
20124056,166
20130416,758
20123424,201
20133062,697
20123496,737
20143043,130
20133691,175
20114185,147
20123761,14
20124085,739
20133868,371
20120500,721
20123069,371
20124251,14
20120464,162
20130406,172
20133337,788
20133660,767
20143299,190
20123142,205
20133000,125
20133868,741
20123695,739
20123666,180
20123871,116
20123988,41
20133662,756
20143450,460
20123481,116
20123439,184
20120452,286
20133399,747
20133736,149
20143664,719
20124053,30
20133498,18
20130402,203
20123334,751
20120498,192
