id,author_type,auth_id
20020308,canton,27
20030445,councillor,490
20010080,,
20040439,faction,3
20040469,councillor,511
20040472,councillor,1133
20040473,councillor,1133
20050445,councillor,515
20050028,,
20060441,councillor,1314
20060490,councillor,487
20070057,,
20070402,councillor,1288
20070413,councillor,1158
20070455,councillor,341
20070459,councillor,76
20070419,councillor,330
20070483,councillor,1156
20070500,councillor,532
20073163,councillor,531
20080011,,
20080047,,
20080053,,
20080080,,
20080314,canton,17
20080324,canton,1
20080325,canton,24
20080418,councillor,330
20080436,faction,4
20080443,councillor,479
20080432,councillor,3923
20080457,councillor,3872
20080458,councillor,3891
20080473,councillor,532
20080495,councillor,100
20080527,councillor,502
20090067,,
20090076,,
20090086,,
20090301,canton,1
20090095,,
20090303,canton,2
20090315,canton,3
20090321,canton,25
20090430,councillor,487
20090456,councillor,3919
20090462,councillor,3895
20090469,councillor,3922
20090472,committee,17
20090474,committee,20
20090477,councillor,3915
20090480,faction,4
20090499,committee,7
20090522,councillor,487
20090503,faction,1
20090510,councillor,452
20093026,councillor,3999
20093158,councillor,3918
20090530,councillor,801
20093472,committee,4
20093456,councillor,3922
20093546,councillor,276
20094040,councillor,395
20093883,councillor,3829
20100018,,
20100019,,
20100052,,
20100049,,
20100060,,
20100077,,
20100090,,
20100092,,
20100097,,
20100107,,
20100300,canton,27
20100304,canton,26
20100309,canton,12
20100319,canton,12
20100321,canton,27
20100326,canton,12
20100324,canton,2
20100333,canton,19
20100414,councillor,487
20100425,faction,4
20100409,councillor,1120
20100432,councillor,490
20100433,councillor,504
20100426,faction,4
20100434,councillor,390
20100437,councillor,1125
20100438,councillor,1289
20100443,committee,25
20100440,committee,24
20100444,committee,25
20100445,faction,136
20100448,councillor,797
20100449,faction,1
20100453,faction,2
20100463,councillor,336
20100450,faction,1
20100465,councillor,352
20100469,faction,4
20100467,councillor,3833
20100474,councillor,3889
20100471,councillor,1279
20100475,councillor,3889
20100476,councillor,3889
20100477,councillor,3887
20100480,committee,7
20100486,councillor,498
20100487,councillor,498
20100489,councillor,542
20100490,councillor,542
20100491,councillor,3999
20100500,councillor,3910
20100501,faction,2
20100502,councillor,1120
20100503,councillor,3907
20100504,councillor,1124
20100512,councillor,1337
20100505,committee,12
20100511,councillor,15
20100514,councillor,464
20100515,councillor,1115
20100516,councillor,1120
20100518,councillor,3888
20100520,councillor,151
20100521,councillor,3904
20100522,councillor,478
20100523,councillor,3999
20100530,faction,6
20100532,councillor,479
20100531,councillor,3888
20100533,faction,4
20100534,councillor,514
20100535,councillor,3901
20100536,councillor,3830
20100537,councillor,241
20100540,councillor,1120
20100538,councillor,3872
20102027,,
20103343,committee,11
20103195,councillor,3922
20103357,councillor,1288
20103362,,
20103379,councillor,4007
20103385,councillor,1158
20103401,councillor,3899
20103404,councillor,3910
20103416,councillor,3907
20103417,councillor,3912
20103420,councillor,3830
20103456,councillor,241
20103437,councillor,268
20103458,councillor,1120
20103502,councillor,1156
20103470,councillor,241
20103503,councillor,1156
20103508,councillor,1117
20103509,councillor,91
20103528,councillor,3893
20103539,councillor,1131
20103529,councillor,3893
20103541,councillor,1104
20103545,councillor,1129
20103546,councillor,1129
20103552,councillor,1142
20103560,,
20103570,councillor,3896
20103583,councillor,487
20103597,councillor,806
20103619,councillor,1124
20103611,councillor,1345
20103644,councillor,1318
20103646,councillor,3889
20103673,councillor,3877
20103675,councillor,3876
20103674,councillor,3876
20103676,councillor,3884
20103718,,
20103717,faction,1
20103751,councillor,349
20103752,,
20103790,councillor,3872
20103800,councillor,91
20103809,councillor,91
20103813,councillor,3872
20103815,councillor,3865
20103823,councillor,1126
20103833,councillor,3878
20103832,councillor,358
20103839,councillor,3890
20103841,councillor,4032
20103850,councillor,1124
20103859,,
20103860,councillor,1127
20103866,councillor,359
20103861,councillor,1127
20103909,councillor,3895
20103930,,
20103917,councillor,3880
20103934,councillor,511
20103939,councillor,241
20103938,councillor,3869
20103943,councillor,3902
20103972,councillor,241
20103966,councillor,3877
20103979,councillor,3907
20103993,,
20104014,councillor,241
20104020,councillor,1337
20104030,councillor,1233
20104050,,
20104054,councillor,1127
20104056,councillor,1127
20104069,councillor,1127
20104094,,
20104101,councillor,1133
20104103,councillor,1133
20104104,councillor,359
20104120,councillor,487
20104134,councillor,1289
20104152,councillor,806
20104162,councillor,3896
20110011,,
20110018,,
20110023,,
20110022,,
20110024,,
20110026,,
20110025,,
20110031,,
20110030,,
20110033,,
20110027,,
20110034,,
20110036,,
20110035,,
20110038,,
20110039,,
20110042,,
20110041,,
20110043,,
20110044,,
20110047,,
20110050,,
20110049,,
20110051,,
20110052,,
20110053,,
20110054,,
20110055,,
20110056,,
20110057,,
20110058,,
20110059,,
20110060,,
20110061,,
20110062,,
20110067,,
20110068,,
20110069,,
20110070,,
20110071,,
20110072,,
20110073,,
20110076,,
20110075,,
20110074,,
20110303,canton,26
20110304,canton,3
20110307,canton,25
20110314,canton,12
20110319,canton,23
20110316,canton,13
20110320,canton,5
20110405,faction,6
20110403,councillor,435
20110406,councillor,3901
